the_geom,ObjectID,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp,date,year
POINT (-73.87171806756136 40.712932363492044),876,4.0,Queens,405.0,30.0,28.0,15.0,6.0,2966,General,01/29/2015,79-62 Metropolitan Avenue,79-62 Metropolitan Avenue,80th Street,79th Place and 80th Street,Queens,405,Q47,Not Applicable,40.7129323635,-73.8717180676,Middle Village,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-01-29,2015.0
POINT (-73.98695970110404 40.690020467504965),691,3.0,Brooklyn,302.0,33.0,52.0,25.0,7.0,989,BID,06/19/2012,180 Livingston Street,180 Livingston Street,Livingston Street,Gallatin Place and Court Street,Brooklyn,302,Not Applicable,Court-Livingston-Schermerhorn,40.6900204675,-73.9869597011,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-06-19,2012.0
POINT (-73.85685860099855 40.85760912065864),2189,2.0,Bronx,211.0,13.0,80.0,34.0,14.0,26,SBS,,Pelham Parkaway at Williamsbridge Road,2201 Williamsbridge Road,Pelham Parkaway,Williamsbridge Road & Bronxwood Avenue,Bronx,211,BX12,,40.8576091207,-73.856858601,Morris Park,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR,,
POINT (-73.82768762195975 40.69361019703535),733,4.0,Queens,409.0,28.0,24.0,10.0,5.0,563,Bus Route,06/29/2012,119-02 94th Avenue,94-13 Lefferts Boulevard,Lefferts Boulevard,94th and 95th Avenues,Queens,409,Q10,Not Applicable,40.693610197,-73.827687622,South Richmond Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-06-29,2012.0
POINT (-74.15823663635841 40.62636917265475),220,5.0,Staten Island,501.0,49.0,61.0,23.0,11.0,1680,Bus Route,01/29/2013,2069 Forest Avenue,2069 Forest Avenue,Forest Avenue,Union Avenue and Bruckner Avenue,Staten Island,501,S48,Not Applicable,40.6263691727,-74.1582366364,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2013-01-29,2013.0
POINT (-73.96717499527459 40.79371394435876),1446,1.0,Manhattan,107.0,7.0,69.0,30.0,10.0,2080,General,10/11/2013,808 Columbus Avenue,808 Columbus Avenue,97th Street,Amsterdam Avenue and Columbus Avenue,Manhattan,107,Not Applicable,Not Applicable,40.7937139444,-73.9671749953,Upper West Side-Manhattan Valley,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-10-11,2013.0
POINT (-73.89725506169195 40.64044708506062),292,3.0,Brooklyn,318.0,46.0,59.0,19.0,8.0,2581,Municipal Facilities,07/07/2014,1600 Rockaway Parkway,1678 Rockaway Parkway,Rockaway Parkway,Avenue J & Avenue K,Brooklyn,318,B42,Not Applicable,40.6404470851,-73.8972550617,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKLESS,2014-07-07,2014.0
POINT (-73.89683268259901 40.725000382370226),955,4.0,Queens,405.0,30.0,30.0,15.0,6.0,646,Bus Route,04/16/2013,66-62 Grand Avenue,66-62 Grand Avenue,Grand Avenue,Queens Midtown Expressway & Hamilton Place,Queens,405,Q58,Not Applicable,40.7250003824,-73.8968326826,Maspeth,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-04-16,2013.0
POINT (-73.94579174367537 40.71154388027502),865,3.0,Brooklyn,301.0,34.0,53.0,18.0,12.0,3609,BID,01/28/2017,669 Grand Street,669 Grand Street,Grand Street,Leonard Street & Manhattan Avenue,Brooklyn,301,Not Applicable,Grand Street,40.7115438803,-73.9457917437,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-01-28,2017.0
POINT (-73.87927026497722 40.87565332449845),1885,2.0,Bronx,207.0,11.0,80.0,36.0,13.0,4164,General,08/01/2018,228 East 207th Street,228 East 207th Street,East 207th Street,Bainbridge Avenue & Perry Avenue,Bronx,207,Not Applicable,Not Applicable,40.8756533245,-73.879270265,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2018-08-01,2018.0
POINT (-73.89910878758329 40.86202597614866),1795,2.0,Bronx,205.0,14.0,86.0,33.0,15.0,1945,BID,05/07/2013,114 East Fordham Road,114 East Fordham Road,East Fordham Rd & 188th Street,E. Fordham Road & 188th Street,Bronx,205,Not Applicable,Fordham Road,40.8620259761,-73.8991087876,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-05-07,2013.0
POINT (-73.88299295376024 40.74306185105803),1071,4.0,Queens,404.0,25.0,39.0,16.0,6.0,3011,General,01/29/2015,81-25 Broadway,81-25 Broadway,Broadway,Pettit Avenue and Britton Avenue,Queens,404,Not Applicable,Not Applicable,40.7430618511,-73.8829929538,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-01-29,2015.0
POINT (-73.90212060130092 40.665100824700616),452,3.0,Brooklyn,316.0,42.0,55.0,19.0,8.0,2391,Senior Center,03/06/2014,460 Dumont Avenue,460 Dumont Avenue,Dumont Avenue,Junius Street & Powell Street,Brooklyn,316,Not Applicable,Not Applicable,40.6651008247,-73.9021206013,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-03-06,2014.0
POINT (-74.0017428739292 40.746130267708295),1118,1.0,Manhattan,104.0,3.0,75.0,27.0,10.0,2025,General,07/22/2013,201 9th Avenue,201 9th Avenue,9th Avenue,22nd and 23rd Streets,Manhattan,104,Not Applicable,Not Applicable,40.7461302677,-74.0017428739,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,2.0,BACKED,2013-07-22,2013.0
POINT (-73.95771142244348 40.60886385504538),131,3.0,Brooklyn,315.0,48.0,45.0,17.0,9.0,4177,Bus Route,09/26/2018,1524 Kings Highway,1524 Kings Highway,Kings Highway,East 15th Street & East 16th Street,Brooklyn,315,B82,Kings Highway,40.608863855,-73.9577114224,Madison,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2018-09-26,2018.0
POINT (-73.9501064970197 40.826396414731846),1621,1.0,Manhattan,109.0,7.0,71.0,31.0,13.0,3556,Bus Route,02/14/2017,3542 Broadway,592 W 145th Street,W 145th Street,W 145th Street & W 146th Street,Manhattan,112,BX19,Not Applicable,40.8263964147,-73.950106497,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2017-02-14,2017.0
POINT (-73.95451265601493 40.69996578959427),773,3.0,Brooklyn,301.0,33.0,50.0,26.0,7.0,2106,General,11/20/2013,210 Wallabout Street,210 Wallabout Street,Wallabout Street,Lee and Bedford Avenues,Brooklyn,301,Not Applicable,Not Applicable,40.6999657896,-73.954512656,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKED,2013-11-20,2013.0
POINT (-73.83847100581009 40.785903026866116),1393,4.0,Queens,407.0,19.0,27.0,11.0,14.0,2026,General,07/31/2013,129-21 14th Avenue,129-21 14th Avenue,14th Avenue,129th & 130th Street,Queens,407,Q20B,Not Applicable,40.7859030269,-73.8384710058,College Point,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2013-07-31,2013.0
POINT (-73.93112557838951 40.658806751399695),395,3.0,Brooklyn,317.0,41.0,58.0,20.0,9.0,3540,Bus Route,07/26/2016,611 Utica Avenue,611 Utica Avenue,Utica Avenue,Winthrop Street & Rutland Road,Brooklyn,317,B46,Not Applicable,40.6588067514,-73.9311255784,East Flatbush-Rugby,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2016-07-26,2016.0
POINT (-73.90598952588337 40.81268637094334),1525,2.0,Bronx,201.0,8.0,84.0,29.0,15.0,2697,Municipal Facilities,11/05/2014,811 East 149th Street,811 East 149th Street,East 149th Street,Tinton Avenue & Union Avenue,Bronx,201,Not Applicable,Not Applicable,40.8126863709,-73.9059895259,Melrose,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-11-05,2014.0
POINT (-73.91620445494766 40.75758066323786),2136,4.0,Queens,401.0,26.0,30.0,12.0,14.0,4152,General,06/28/2019,43-12 Broadway,43-12 Broadway,Broadway,43 Street & 44 Street,Queens,401,Not Applicable,Not Applicable,40.7575806632,-73.9162044549,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2019-06-28,2019.0
POINT (-73.99335056258825 40.602394764390304),88,3.0,Brooklyn,311.0,47.0,47.0,23.0,11.0,4170,Bus Route,09/21/2018,8512 Bay Parkway,8512 Bay Parkway,Bay Parkway,85th Street & 86th Street,Brooklyn,311,B82,Not Applicable,40.6023947644,-73.9933505626,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2018-09-21,2018.0
POINT (-73.97978059195138 40.77878075600478),1350,1.0,Manhattan,107.0,6.0,67.0,29.0,10.0,1379,General,12/19/2012,141 West 73rd Street,141 West 73rd Street,73rd Street,Columbus and Amsterdam Avenues,Manhattan,107,Not Applicable,Not Applicable,40.778780756,-73.979780592,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-12-19,2012.0
POINT (-74.00040741100092 40.6091651902616),132,3.0,Brooklyn,311.0,43.0,47.0,23.0,10.0,3953,General,02/08/2018,8210 18th Avenue,8210 18th Avenue,18th Avenue,82nd Street & 83rd Street,Brooklyn,311,B8,Not Applicable,40.6091651903,-74.000407411,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2018-02-08,2018.0
POINT (-73.95120137370009 40.688064193027536),659,3.0,Brooklyn,303.0,36.0,57.0,25.0,8.0,3971,General,01/23/2018,340 Nostrand Avenue,340 Nostrand Avenue,Nostrand Avenue,Green Avenue & Lexington Avenue,Brooklyn,303,B44,Not Applicable,40.688064193,-73.9512013737,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2018-01-23,2018.0
POINT (-74.01177626460799 40.71387907033078),2001,1.0,Manhattan,101.0,1.0,66.0,26.0,10.0,1942,BID,06/13/2013,230 Greenwich Street,230 Greenwich Street,Greenwich Street & Barclay Street,Greenwich Street & Washington Street,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.7138790703,-74.0117762646,Tribeca-Civic Center,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1.0,BACKED,2013-06-13,2013.0
POINT (-73.88407803822392 40.733335864303776),997,4.0,Queens,404.0,25.0,30.0,16.0,6.0,1805,General,02/14/2013,83-07 Grand Avenue,83-07 Grand Avenue,Grand Avenue,Calamus Avenue and 83rd Street,Queens,404,Q58,Not Applicable,40.7333358643,-73.8840780382,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-02-14,2013.0
POINT (-73.95347800843594 40.66093231004403),410,3.0,Brooklyn,309.0,40.0,43.0,20.0,9.0,3483,General,08/01/2016,467 Rogers Avenue,467 Rogers Avenue,Rogers Ave,Maple Street & Lincoln Street,Brooklyn,309,Not Applicable,Not Applicable,40.66093231,-73.9534780084,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-08-01,2016.0
POINT (-73.95494350168381 40.777292341885),1344,1.0,Manhattan,108.0,5.0,76.0,28.0,12.0,3689,Senior Safety,08/03/2017,1479 3rd Avenue,1479 3rd Avenue,3rd Avenue,E 84th Street & E 83rd Street,Manhattan,108,Not Applicable,Not Applicable,40.7772923419,-73.9549435017,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-08-03,2017.0
POINT (-73.97475383377187 40.729552887254705),987,1.0,Manhattan,106.0,4.0,74.0,27.0,12.0,4165,General,04/11/2019,276 Avenue C,276 Avenue C,Avenue C,East 16th Street & East 15th Street,Manhattan,106,M09,Not Applicable,40.7295528873,-73.9747538338,Stuyvesant Town-Peter Cooper Village,AE,,1.0,BACKLESS,2019-04-11,2019.0
POINT (-73.94912055031841 40.79354828284895),1432,1.0,Manhattan,111.0,8.0,68.0,30.0,13.0,3212,General,10/28/2015,61 E 106th Street,61 E 106th Street,E 106th Street,Madison Avenue and Park Avenue,Manhattan,111,Not Applicable,Not Applicable,40.7935482828,-73.9491205503,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2015-10-28,2015.0
POINT (-73.9793179584825 40.605421783465424),115,3.0,Brooklyn,311.0,44.0,47.0,17.0,10.0,2993,General,01/05/2015,1714 W. 6th Street,1714 W. 6th Street,W. 6th Street,Quentin Road & Kings Highway,Brooklyn,311,Not Applicable,Not Applicable,40.6054217835,-73.9793179585,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2015-01-05,2015.0
POINT (-74.11645688486233 40.57415623273084),2102,5.0,Staten Island,502.0,50.0,62.0,24.0,11.0,3666,Bus Route,01/28/2017,32 New Dorp Plaza South,32 New Dorp Plaza South,New Dorp Lane,N. Railroad Avenue & S. Railroad Avenue,Staten Island,502,S76,Not Applicable,40.5741562327,-74.1164568849,New Dorp-Midland Beach,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-01-28,2017.0
POINT (-74.00540411393536 40.63289271440267),242,3.0,Brooklyn,312.0,38.0,49.0,17.0,7.0,3788,Bus Route,07/03/2017,6001 Fort Hamilton Pkwy,6001 Fort Hamilton Pkwy,60th Street,60th Street & 61st Street,Brooklyn,312,B9,Not Applicable,40.6328927144,-74.0054041139,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2017-07-03,2017.0
POINT (-73.97470850793844 40.7879054253562),1404,1.0,Manhattan,107.0,6.0,69.0,29.0,10.0,1306,General,10/15/2012,541 Amsterdam Avenue,541 Amsterdam Ave,Amsterdam Avenue,W. 86th Street & W. 87th Street,Manhattan,107,M11,Not Applicable,40.7879054254,-73.9747085079,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-10-15,2012.0
POINT (-73.8625749634915 40.74953406636623),1942,4.0,Queens,404.0,21.0,39.0,13.0,14.0,1342,Plaza,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,Corona,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2018-06-01,2018.0
POINT (-73.88056760354942 40.66254093379139),427,3.0,Brooklyn,305.0,42.0,60.0,19.0,8.0,149,Bus Route,09/30/2013,797 Ashford Street,797 Ashford Street,Ashford Street,Linden Boulevard and Stanley Avenue,Brooklyn,305,B6,Not Applicable,40.6625409338,-73.8805676035,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKLESS,2013-09-30,2013.0
POINT (-73.87828570771632 40.75641433329173),1200,4.0,Queens,403.0,25.0,34.0,13.0,14.0,2003,General,09/27/2013,89-19 Northern Boulevard,89-19 Northern Boulevard,Northern Boulevard,89th & 90th Street,Queens,403,Q66,Not Applicable,40.7564143333,-73.8782857077,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-09-27,2013.0
POINT (-74.19186492457652 40.5277069293871),2240,5.0,Staten Island,503.0,51.0,62.0,24.0,11.0,760,General,12/21/2012,100 Luten Avenue,100 Luten Avenue,Luten Avenue,Eylandt Street & Deisius Street,Staten Island,503,S55,Not Applicable,40.5277069294,-74.1918649246,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2012-12-21,2012.0
POINT (-73.91277233872648 40.82307834620726),1599,2.0,Bronx,203.0,17.0,79.0,32.0,15.0,796,General,01/10/2013,843 Elton Avenue,843 Elton Avenue,East 160th Street,East 159th and 160th Streets,Bronx,203,Not Applicable,Not Applicable,40.8230783462,-73.9127723387,Morrisania,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2013-01-10,2013.0
POINT (-73.93233084125369 40.74501723487786),1103,4.0,Queens,402.0,26.0,37.0,12.0,12.0,3314,Municipal Facilities,07/06/2016,32-23 Queens Boulevard,32-23 Queens Boulevard,Queens Boulevard,32nd Place & 33rd Street,Queens,402,Not Applicable,Not Applicable,40.7450172349,-73.9323308413,Sunnyside,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-07-06,2016.0
POINT (-73.87922968171267 40.8402330865958),1696,2.0,Bronx,206.0,15.0,87.0,32.0,15.0,2899,Municipal Facilities,12/18/2014,2024 Boston Road,1065 East Tremont Avenue,East Tremont Avenue,Boston Road & East 177th Street,Bronx,206,BX21,Not Applicable,40.8402330866,-73.8792296817,West Farms,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2014-12-18,2014.0
POINT (-73.91853246092424 40.762163887684686),1241,4.0,Queens,401.0,22.0,36.0,12.0,12.0,3364,General,07/19/2016,37-01 31st Avenue,37-01 31st Avenue,37th Street,37th Street & 38th Street,Queens,401,Not Applicable,Not Applicable,40.7621638877,-73.9185324609,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-07-19,2016.0
POINT (-74.07560115940746 40.63584319964752),264,5.0,Staten Island,501.0,49.0,61.0,23.0,11.0,1677,Bus Route,01/29/2013,263 Bay Street,263 Bay Street,Bay Street,Hannah Street & Swan Street,Staten Island,501,S78,Not Applicable,40.6358431996,-74.0756011594,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,2.0,BACKLESS,2013-01-29,2013.0
POINT (-74.01336883252644 40.708623969357596),848,1.0,Manhattan,101.0,1.0,65.0,26.0,10.0,1020,BID,07/11/2012,110 Greenwich Street,110 Greenwich Street,Greenwich Street,Rector and Carlisle Streets,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.7086239694,-74.0133688325,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1.0,BACKED,2012-07-11,2012.0
POINT (-73.8825278476228 40.84840100147875),2153,2.0,Bronx,227.0,15.0,78.0,33.0,15.0,4140,General,05/21/2019,2300 Southern Boulevard,2300 Southern Boulevard,Crotona Parkway,Bronx Park South & La 65 de Enfanteria,Bronx,206,Not Applicable,Not Applicable,40.8484010015,-73.8825278476,Bronx Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2019-05-21,2019.0
POINT (-73.95406649304567 40.81111378161235),1520,1.0,Manhattan,109.0,9.0,70.0,30.0,13.0,1181,BID,01/16/2013,133 Morningside Avenue,,Morningside Avenue,W125th Street & W126th Street,Manhattan,110,Not Applicable,125th Street,40.8111137816,-73.954066493,Morningside Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-01-16,2013.0
POINT (-73.91578990379483 40.668871886189045),506,3.0,Brooklyn,316.0,41.0,55.0,20.0,9.0,1711,BID,02/22/2013,1572 Pitkin Avenue,1572 Pitkin Avenue,Pitkin Avenue,Strauss Street & Herzl Street,Brooklyn,316,Not Applicable,Pitkin Avenue,40.6688718862,-73.9157899038,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2013-02-22,2013.0
POINT (-73.84336157304622 40.67193977509489),526,4.0,Queens,410.0,32.0,23.0,15.0,8.0,4226,Bus Route,01/24/2019,137-20 CROSS BAY BLVD,137-20 CROSS BAY BLVD,CROSS BAY BLVD,Pitkin Avenue & Van Wicklen Road,Queens,410,Q52,Not Applicable,40.6719397751,-73.843361573,Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2019-01-24,2019.0
POINT (-73.99551700383611 40.64542826929692),311,3.0,Brooklyn,312.0,38.0,51.0,17.0,7.0,3766,Senior Safety,09/26/2017,3921 9th Avenue,3921 9th Avenue,9th Avenue,40th Street & 39th Street,Brooklyn,312,Not Applicable,Not Applicable,40.6454282693,-73.9955170038,Sunset Park (East)-Borough Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-09-26,2017.0
POINT (-74.06640286107884 40.597997520542094),73,5.0,Staten Island,502.0,50.0,64.0,23.0,11.0,1666,Bus Route,12/21/2012,134 McClean Avenue,134 McClean Avenue,McClean Avenue,Conger Street & Hastings Street,Staten Island,502,S53,Not Applicable,40.5979975205,-74.0664028611,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-12-21,2012.0
POINT (-73.93729533258778 40.6222657451325),2204,3.0,Brooklyn,318.0,45.0,41.0,19.0,9.0,40,Bus Route,10/01/2018,3827 KINGS HIGHWAY,3827 KINGS HIGHWAY,KINGS HIGHWAY,East 38th Street & Flatbush Avenue,Brooklyn,41,B82,,40.6222657451,-73.9372953326,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,4.0,LEANING BAR,2018-10-01,2018.0
POINT (-73.91031908582772 40.83995452937807),1695,2.0,Bronx,204.0,16.0,77.0,33.0,15.0,2135,Community Health Centers,09/09/2013,240 East 172nd Street,240 East 172nd Street,Morris Avenue,East 171st and 172nd Streets,Bronx,204,BX32,Not Applicable,40.8399545294,-73.9103190858,Mount Eden-Claremont (West),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-09-09,2013.0
POINT (-74.00473702881385 40.62271922681353),205,3.0,Brooklyn,310.0,43.0,49.0,22.0,11.0,1642,Senior Center,03/06/2013,7009 13th Avenue,7009 13th Avenue,13th Avenue,70th & 71st Street,Brooklyn,310,B64,Not Applicable,40.6227192268,-74.0047370288,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-03-06,2013.0
POINT (-73.89266104819173 40.832181791541004),1974,2.0,Bronx,203.0,17.0,79.0,32.0,15.0,1535,General,02/04/2013,1334 Louis Nine Boulevard,1334 Louis Nine Boulevard,Plaza,"Intervale Avenue, Louis Nine Blvd & Jennings Street",Bronx,203,Not Applicable,Not Applicable,40.8321817915,-73.8926610482,Crotona Park East,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-02-04,2013.0
POINT (-73.94170345899798 40.818355333625675),1563,1.0,Manhattan,110.0,9.0,70.0,30.0,13.0,3962,Bus Route,01/09/2018,2394 Adam Clayton Powell Jr Blvd,2394 Adam Clayton Powell Jr Blvd,Adam Clayton Powell Jr Blvd,W139th Street & W140th Street,Manhattan,110,M02,Not Applicable,40.8183553336,-73.941703459,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2018-01-09,2018.0
POINT (-73.89149268347559 40.882672177259415),1862,2.0,Bronx,208.0,11.0,81.0,34.0,13.0,2703,Municipal Facilities,07/30/2014,3961 Hillman Avenue,3961 Hillman Avenue,Hillman Avenue,Sedgwick Avenue & Van Cortlandt Park South,Bronx,208,Not Applicable,Not Applicable,40.8826721773,-73.8914926835,Kingsbridge Heights-Van Cortlandt Village,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-07-30,2014.0
POINT (-73.92957358021154 40.64407775432181),306,3.0,Brooklyn,317.0,45.0,58.0,21.0,9.0,2480,Health Care Facilities,05/29/2014,1160 Utica Avenue,1160 Utica Avenue,Utica Avenue,Clarendon Road & Avenue D,Brooklyn,317,B46,Not Applicable,40.6440777543,-73.9295735802,East Flatbush-Farragut,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2014-05-29,2014.0
POINT (-73.92203521290155 40.83232705857935),1650,2.0,Bronx,204.0,16.0,84.0,29.0,15.0,2307,General,01/08/2014,1068 Gerard Avenue,1068 Gerard Avenue,Gerard Avenue,E165th & McClellan Street,Bronx,204,Not Applicable,Not Applicable,40.8323270586,-73.9220352129,Concourse-Concourse Village,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-01-08,2014.0
POINT (-73.95150162367027 40.74337181894402),1073,4.0,Queens,402.0,26.0,37.0,12.0,12.0,2814,General,10/29/2014,10-93 Jackson Avenue,10-93 Jackson Avenue,11th Street,11th Street and 49th Avenue,Queens,402,B62,Not Applicable,40.7433718189,-73.9515016237,Long Island City-Hunters Point,AE,,3.0,BACKED,2014-10-29,2014.0
POINT (-73.90795998548269 40.82315130616821),1603,2.0,Bronx,203.0,17.0,79.0,32.0,15.0,2696,Municipal Facilities,09/15/2014,916 Eagle Avenue,916 Eagle Avenue,Eagle Avenue,East 161st Street & East 163rd Street,Bronx,203,Not Applicable,Not Applicable,40.8231513062,-73.9079599855,Morrisania,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-09-15,2014.0
POINT (-73.91014776097707 40.83111744750459),2010,2.0,Bronx,203.0,16.0,77.0,32.0,15.0,2081,General,,1170 Webster Avenue,1170 Webster Avenue,Webster Avenue,E 167th Street and E 168th Street,Bronx,203,BX41,Not Applicable,40.8311174475,-73.910147761,Claremont Village-Claremont (East),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,,
POINT (-73.89866170874681 40.64171118962904),291,3.0,Brooklyn,318.0,46.0,59.0,19.0,8.0,2580,Municipal Facilities,07/07/2014,1600 Rockaway Parkway,1596 Rockaway Parkway,Rockaway Parkway,Avenue J & Avenue K,Brooklyn,318,B42,Not Applicable,40.6417111896,-73.8986617087,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3.0,BACKLESS,2014-07-07,2014.0
POINT (-73.82877880566615 40.756970928191805),1205,4.0,Queens,407.0,20.0,40.0,16.0,6.0,495,Bus Route,06/20/2012,41-51 Main Street (136-05 Sanford Avenue),41-57 Main Street,Main Street,Sanford Avenue and 41st Road,Queens,407,Q44,Not Applicable,40.7569709282,-73.8287788057,Flushing-Willets Point,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-06-20,2012.0
POINT (-74.0096666631128 40.63022628720084),232,3.0,Brooklyn,310.0,38.0,49.0,22.0,10.0,2481,Health Care Facilities,05/29/2014,6511 Fort Hamilton Parkway,6511 Fort Hamilton Parkway,Fort Hamilton Parkway,65th Street & 66th Street,Brooklyn,310,B16,Not Applicable,40.6302262872,-74.0096666631,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2014-05-29,2014.0
POINT (-73.88587974048313 40.66507598097214),451,3.0,Brooklyn,305.0,42.0,60.0,19.0,8.0,2288,General,12/13/2013,665 New Lots Avenue,665 New Lots Avenue,New Lots Avenue,Barbey Street & Schenck Avenue,Brooklyn,305,B15,Not Applicable,40.665075981,-73.8858797405,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2013-12-13,2013.0
POINT (-74.10917043180798 40.57083778611027),5,5.0,Staten Island,502.0,50.0,64.0,24.0,11.0,3196,General,04/13/2016,2488 Hylan Boulevard,2488 Hylan Boulevard,Hylan Boulevard,Jacques Avenue & New Dorp Lane,Staten Island,502,S78,Not Applicable,40.5708377861,-74.1091704318,New Dorp-Midland Beach,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2016-04-13,2016.0
POINT (-73.87254423235764 40.7185569122713),919,4.0,Queens,405.0,30.0,30.0,15.0,6.0,3174,General,04/13/2016,64-59 Dry Harbor Road,64-59 Dry Harbor Road,Dry Harbor Road,64th Road & Furmanville Avenue,Queens,405,Q29,Not Applicable,40.7185569123,-73.8725442324,Middle Village,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-04-13,2016.0
