GISJOIN,GEOID,STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry,closest_bench,the_geom,ObjectID,BoroName,Latitude,Longitude,NTAName,SeatingTyp,date,lat_long,distance_km,distance_m,travel_time,travel_time_sec
G3600050032400,36005032400,36,005,032400,3113,40.862778,-73.859669,POINT (1834357.0551999994 591489.6999999993),"(40.861538535, -73.8618159787)",POINT (-73.86181597869232 40.86153853499977),1786,Bronx,40.861538535,-73.8618159787,Allerton,BACKED,2017-05-26,"(40.861538535, -73.8618159787)",0.3 km,341,4 mins,
G3600050032600,36005032600,36,005,032600,3494,40.862384,-73.855548,POINT (1834702.4728000015 591526.3217999991),"(40.8612788753, -73.8560335662)",POINT (-73.85603356623892 40.86127887526349),1787,Bronx,40.8612788753,-73.8560335662,Pelham Gardens,BACKED,2015-01-06,"(40.8612788753, -73.8560335662)",0.2 km,165,2 mins,
G3600050032800,36005032800,36,005,032800,4133,40.861314,-73.863352,POINT (1834095.2978999987 591259.0954999998),"(40.861538535, -73.8618159787)",POINT (-73.86181597869232 40.86153853499977),1786,Bronx,40.861538535,-73.8618159787,Allerton,BACKED,2017-05-26,"(40.861538535, -73.8618159787)",0.2 km,170,2 mins,
G3600050033000,36005033000,36,005,033000,5837,40.861069,-73.86602,POINT (1833884.5896000005 591180.9115999993),"(40.861538535, -73.8618159787)",POINT (-73.86181597869232 40.86153853499977),1786,Bronx,40.861538535,-73.8618159787,Allerton,BACKED,2017-05-26,"(40.861538535, -73.8618159787)",0.4 km,430,5 mins,
G3600050033201,36005033201,36,005,033201,4103,40.859398,-73.869542,POINT (1833641.257100001 590930.8737000003),"(40.8567211461, -73.8672607333)",POINT (-73.86726073331678 40.85672114607203),2103,Bronx,40.8567211461,-73.8672607333,Pelham Parkway-Van Nest,BACKLESS,2017-03-11,"(40.8567211461, -73.8672607333)",0.5 km,473,7 mins,
G3600050033202,36005033202,36,005,033202,4204,40.863479,-73.868952,POINT (1833583.7861000001 591386.9370000008),"(40.8653567091, -73.8699985858)",POINT (-73.86999858580108 40.86535670907173),1807,Bronx,40.8653567091,-73.8699985858,Allerton,BACKED,2017-08-23,"(40.8653567091, -73.8699985858)",0.3 km,348,4 mins,
G3600050033400,36005033400,36,005,033400,69,40.865216,-73.871573,POINT (1833325.6865999997 591525.6400000006),"(40.8653567091, -73.8699985858)",POINT (-73.86999858580108 40.86535670907173),1807,Bronx,40.8653567091,-73.8699985858,Allerton,BACKED,2017-08-23,"(40.8653567091, -73.8699985858)",0.1 km,115,2 mins,
G3600050033500,36005033500,36,005,033500,2440,40.890771,-73.904602,POINT (1829979.3913999982 593673.6993000004),"(40.8864731647, -73.9068469566)",POINT (-73.90684695660549 40.88647316466977),2115,Bronx,40.8864731647,-73.9068469566,Riverdale-Spuyten Duyvil,BACKED,2017-09-01,"(40.8864731647, -73.9068469566)",0.8 km,848,11 mins,
G3600050033601,36005033601,36,005,033601,4306,40.86753,-73.869117,POINT (1833465.671 591825.1625999995),"(40.8653567091, -73.8699985858)",POINT (-73.86999858580108 40.86535670907173),1807,Bronx,40.8653567091,-73.8699985858,Allerton,BACKED,2017-08-23,"(40.8653567091, -73.8699985858)",0.3 km,311,4 mins,
G3600050033602,36005033602,36,005,033602,1555,40.870506,-73.869271,POINT (1833376.234099999 592146.4646000005),"(40.8728826013, -73.8748265663)",POINT (-73.87482656634549 40.8728826013251),1832,Bronx,40.8728826013,-73.8748265663,Norwood,BACKED,2014-03-19,"(40.8728826013, -73.8748265663)",1.4 km,1414,18 mins,
G3600050033700,36005033700,36,005,033700,3838,40.906986,-73.901893,POINT (1829781.262600001 595492.8010000009),"(40.9076674737, -73.9040046123)",POINT (-73.9040046122733 40.90766747368496),1882,Bronx,40.9076674737,-73.9040046123,Riverdale-Spuyten Duyvil,BACKED,2014-03-19,"(40.9076674737, -73.9040046123)",0.3 km,296,4 mins,
G3600050033801,36005033801,36,005,033801,2337,40.867493,-73.865576,POINT (1833754.6631999984 591889.4525000006),"(40.866817381, -73.8634089053)",POINT (-73.8634089053467 40.86681738098097),1812,Bronx,40.866817381,-73.8634089053,Allerton,BACKED,2014-06-24,"(40.866817381, -73.8634089053)",0.3 km,313,4 mins,
G3600050033802,36005033802,36,005,033802,1737,40.870544,-73.865482,POINT (1833683.447900001 592223.7084999997),"(40.866817381, -73.8634089053)",POINT (-73.8634089053467 40.86681738098097),1812,Bronx,40.866817381,-73.8634089053,Allerton,BACKED,2014-06-24,"(40.866817381, -73.8634089053)",0.6 km,555,7 mins,
G3600050034000,36005034000,36,005,034000,4858,40.868351,-73.863159,POINT (1833929.0883000009 592029.5819000006),"(40.866817381, -73.8634089053)",POINT (-73.8634089053467 40.86681738098097),1812,Bronx,40.866817381,-73.8634089053,Allerton,BACKED,2014-06-24,"(40.866817381, -73.8634089053)",0.2 km,171,2 mins,
G3600050034200,36005034200,36,005,034200,1732,40.869057,-73.859861,POINT (1834179.0976000018 592170.1566000003),"(40.866817381, -73.8634089053)",POINT (-73.8634089053467 40.86681738098097),1812,Bronx,40.866817381,-73.8634089053,Allerton,BACKED,2014-06-24,"(40.866817381, -73.8634089053)",0.6 km,581,7 mins,
G3600050034300,36005034300,36,005,034300,1706,40.909474,-73.89776,POINT (1830053.0786000006 595843.4958999995),"(40.9076674737, -73.9040046123)",POINT (-73.9040046122733 40.90766747368496),1882,Bronx,40.9076674737,-73.9040046123,Riverdale-Spuyten Duyvil,BACKED,2014-03-19,"(40.9076674737, -73.9040046123)",0.8 km,773,10 mins,
G3600050034400,36005034400,36,005,034400,1930,40.868236,-73.857165,POINT (1834419.617800001 592132.7378000002),"(40.866817381, -73.8634089053)",POINT (-73.8634089053467 40.86681738098097),1812,Bronx,40.866817381,-73.8634089053,Allerton,BACKED,2014-06-24,"(40.866817381, -73.8634089053)",0.7 km,748,10 mins,
G3600050034500,36005034500,36,005,034500,3754,40.90427,-73.898549,POINT (1830123.2424000017 595261.2356000002),"(40.906404321, -73.9040940318)",POINT (-73.90409403182514 40.90640432095037),1881,Bronx,40.906404321,-73.9040940318,Riverdale-Spuyten Duyvil,BACKLESS,2014-12-23,"(40.906404321, -73.9040940318)",0.8 km,829,11 mins,
G3600050034800,36005034800,36,005,034800,6640,40.869399,-73.852916,POINT (1834735.1526999995 592341.4822000004),"(40.8738397071, -73.8553665896)",POINT (-73.85536658961966 40.87383970706848),1838,Bronx,40.8738397071,-73.8553665896,Pelham Gardens,BACKLESS,2017-02-04,"(40.8738397071, -73.8553665896)",0.7 km,711,10 mins,
G3600050035000,36005035000,36,005,035000,2284,40.868435,-73.848395,POINT (1835127.8158 592323.7399000004),"(40.8700700615, -73.8452593839)",POINT (-73.8452593838792 40.87007006154139),1826,Bronx,40.8700700615,-73.8452593839,Eastchester-Edenwald-Baychester,BACKED,2014-06-24,"(40.8700700615, -73.8452593839)",0.4 km,397,5 mins,
G3600050035100,36005035100,36,005,035100,3539,40.893911,-73.899229,POINT (1830335.303199999 594119.3377),"(40.8958567042, -73.892292577)",POINT (-73.89229257704223 40.89585670424556),1878,Bronx,40.8958567042,-73.892292577,Van Cortlandt Park,BACKED,2017-03-11,"(40.8958567042, -73.892292577)",1.8 km,1787,21 mins,
G3600050035100,36005035100,36,005,035100,3539,40.893911,-73.899229,POINT (1830335.303199999 594119.3377),"(40.8958567042, -73.892292577)",POINT (-73.89229257704223 40.89585670424556),1877,Bronx,40.8958567042,-73.892292577,Van Cortlandt Park,BACKED,2017-03-11,"(40.8958567042, -73.892292577)",1.8 km,1787,21 mins,
G3600050035100,36005035100,36,005,035100,3539,40.893911,-73.899229,POINT (1830335.303199999 594119.3377),"(40.8958567042, -73.892292577)",POINT (-73.89229257704223 40.89585670424556),1876,Bronx,40.8958567042,-73.892292577,Van Cortlandt Park,BACKED,2017-03-11,"(40.8958567042, -73.892292577)",1.8 km,1787,21 mins,
G3600050035100,36005035100,36,005,035100,3539,40.893911,-73.899229,POINT (1830335.303199999 594119.3377),"(40.8958567042, -73.892292577)",POINT (-73.89229257704223 40.89585670424556),1879,Bronx,40.8958567042,-73.892292577,Van Cortlandt Park,BACKED,2017-03-11,"(40.8958567042, -73.892292577)",1.8 km,1787,21 mins,
G3600050035600,36005035600,36,005,035600,2261,40.868707,-73.838481,POINT (1835927.1534999982 592544.8607999999),"(40.8700700615, -73.8452593839)",POINT (-73.8452593838792 40.87007006154139),1826,Bronx,40.8700700615,-73.8452593839,Eastchester-Edenwald-Baychester,BACKED,2014-06-24,"(40.8700700615, -73.8452593839)",0.7 km,666,9 mins,
G3600050035800,36005035800,36,005,035800,7542,40.874216,-73.842617,POINT (1835448.2071999982 593065.2002000008),"(40.8786772604, -73.8440024887)",POINT (-73.84400248866734 40.8786772603729),1848,Bronx,40.8786772604,-73.8440024887,Eastchester-Edenwald-Baychester,BACKED,2017-02-04,"(40.8786772604, -73.8440024887)",0.6 km,556,7 mins,
G3600050035900,36005035900,36,005,035900,3731,40.839938,-73.882827,POINT (1833063.0846000016 588554.1002999991),"(40.839084711, -73.8805355683)",POINT (-73.88053556828305 40.83908471096157),1689,Bronx,40.839084711,-73.8805355683,West Farms,BACKED,2014-09-10,"(40.839084711, -73.8805355683)",0.6 km,561,7 mins,
G3600050036000,36005036000,36,005,036000,3024,40.866861,-73.84367,POINT (1835552.860199999 592243.4945),"(40.8700700615, -73.8452593839)",POINT (-73.8452593838792 40.87007006154139),1826,Bronx,40.8700700615,-73.8452593839,Eastchester-Edenwald-Baychester,BACKED,2014-06-24,"(40.8700700615, -73.8452593839)",0.5 km,499,6 mins,
G3600050036100,36005036100,36,005,036100,5569,40.842586,-73.879741,POINT (1833245.8126999997 588902.1762000006),"(40.8402330866, -73.8792296817)",POINT (-73.87922968171267 40.8402330865958),1696,Bronx,40.8402330866,-73.8792296817,West Farms,BACKLESS,2014-12-18,"(40.8402330866, -73.8792296817)",0.4 km,428,5 mins,
G3600050036300,36005036300,36,005,036300,7074,40.844723,-73.882287,POINT (1832983.4367999993 589085.9307000004),"(40.8445425275, -73.8828821153)",POINT (-73.882882115296 40.84454252753051),1709,Bronx,40.8445425275,-73.8828821153,West Farms,BACKED,2014-07-01,"(40.8445425275, -73.8828821153)",84 m,84,1 min,
G3600050036400,36005036400,36,005,036400,2603,40.873828,-73.848842,POINT (1834951.9580000006 592902.7134000007),"(40.8700700615, -73.8452593839)",POINT (-73.8452593838792 40.87007006154139),1826,Bronx,40.8700700615,-73.8452593839,Eastchester-Edenwald-Baychester,BACKED,2014-06-24,"(40.8700700615, -73.8452593839)",0.5 km,544,7 mins,
G3600050036501,36005036501,36,005,036501,3897,40.845378,-73.885724,POINT (1832686.8438000008 589091.0183000006),"(40.8445425275, -73.8828821153)",POINT (-73.882882115296 40.84454252753051),1709,Bronx,40.8445425275,-73.8828821153,West Farms,BACKED,2014-07-01,"(40.8445425275, -73.8828821153)",0.4 km,391,5 mins,
G3600050036502,36005036502,36,005,036502,2449,40.842584,-73.887601,POINT (1832606.2569999993 588750.3607999999),"(40.8460037812, -73.8892399448)",POINT (-73.88923994476669 40.84600378117879),1732,Bronx,40.8460037812,-73.8892399448,Tremont,BACKED,2014-09-03,"(40.8460037812, -73.8892399448)",0.6 km,570,7 mins,
G3600050036700,36005036700,36,005,036700,2672,40.840569,-73.889436,POINT (1832508.961100001 588495.4006999992),"(40.8382897151, -73.8871855819)",POINT (-73.88718558188054 40.838289715094405),1687,Bronx,40.8382897151,-73.8871855819,Crotona Park East,BACKED,2017-05-26,"(40.8382897151, -73.8871855819)",0.4 km,359,4 mins,
G3600050036800,36005036800,36,005,036800,2165,40.875557,-73.856447,POINT (1834288.7131000012 592944.2864999995),"(40.8738397071, -73.8553665896)",POINT (-73.85536658961966 40.87383970706848),1838,Bronx,40.8738397071,-73.8553665896,Pelham Gardens,BACKLESS,2017-02-04,"(40.8738397071, -73.8553665896)",0.3 km,252,4 mins,
G3600050036901,36005036901,36,005,036901,1910,40.844633,-73.892025,POINT (1832193.3478000015 588888.3390999995),"(40.8453197137, -73.8909755808)",POINT (-73.89097558083304 40.84531971370252),1713,Bronx,40.8453197137,-73.8909755808,Tremont,BACKLESS,2014-12-03,"(40.8453197137, -73.8909755808)",0.1 km,114,1 min,
G3600050036902,36005036902,36,005,036902,2324,40.842532,-73.893278,POINT (1832145.6259000003 588635.2335999999),"(40.8453197137, -73.8909755808)",POINT (-73.89097558083304 40.84531971370252),1713,Bronx,40.8453197137,-73.8909755808,Tremont,BACKLESS,2014-12-03,"(40.8453197137, -73.8909755808)",0.4 km,380,5 mins,
G3600050037000,36005037000,36,005,037000,2536,40.872957,-73.858975,POINT (1834150.3293999992 592612.2002000008),"(40.8738397071, -73.8553665896)",POINT (-73.85536658961966 40.87383970706848),1838,Bronx,40.8738397071,-73.8553665896,Pelham Gardens,BACKLESS,2017-02-04,"(40.8738397071, -73.8553665896)",0.4 km,403,5 mins,
G3600050037100,36005037100,36,005,037100,4504,40.847244,-73.887454,POINT (1832497.8838 589260.9943000004),"(40.848361602, -73.8887599399)",POINT (-73.88875993991523 40.84836160198415),1741,Bronx,40.848361602,-73.8887599399,Tremont,BACKLESS,2015-01-30,"(40.848361602, -73.8887599399)",0.2 km,174,3 mins,
G3600050037200,36005037200,36,005,037200,2289,40.873098,-73.863586,POINT (1833771.6460999995 592538.5800000001),"(40.8778661855, -73.8662397404)",POINT (-73.86623974039587 40.87786618551837),2014,Bronx,40.8778661855,-73.8662397404,Williamsbridge-Olinville,BACKED,2013-10-25,"(40.8778661855, -73.8662397404)",0.8 km,750,10 mins,
G3600050037300,36005037300,36,005,037300,6117,40.848669,-73.890323,POINT (1832227.6383000016 589360.9583),"(40.848361602, -73.8887599399)",POINT (-73.88875993991523 40.84836160198415),1741,Bronx,40.848361602,-73.8887599399,Tremont,BACKLESS,2015-01-30,"(40.848361602, -73.8887599399)",0.2 km,167,2 mins,
G3600050037400,36005037400,36,005,037400,3890,40.874425,-73.866304,POINT (1833516.2756999992 592630.7282999996),"(40.8778661855, -73.8662397404)",POINT (-73.86623974039587 40.87786618551837),2014,Bronx,40.8778661855,-73.8662397404,Williamsbridge-Olinville,BACKED,2013-10-25,"(40.8778661855, -73.8662397404)",0.5 km,452,6 mins,
G3600050037504,36005037504,36,005,037504,4023,40.849736,-73.893363,POINT (1831952.728599999 589418.6235000007),"(40.848361602, -73.8887599399)",POINT (-73.88875993991523 40.84836160198415),1741,Bronx,40.848361602,-73.8887599399,Tremont,BACKLESS,2015-01-30,"(40.848361602, -73.8887599399)",0.4 km,446,6 mins,
G3600050037600,36005037600,36,005,037600,2274,40.873683,-73.869123,POINT (1833306.1675999984 592495.4934999999),"(40.8728826013, -73.8748265663)",POINT (-73.87482656634549 40.8728826013251),1832,Bronx,40.8728826013,-73.8748265663,Norwood,BACKED,2014-03-19,"(40.8728826013, -73.8748265663)",1.3 km,1263,16 mins,
G3600050037800,36005037800,36,005,037800,3569,40.879947,-73.866826,POINT (1833331.0969000012 593222.3420000002),"(40.8778661855, -73.8662397404)",POINT (-73.86623974039587 40.87786618551837),2014,Bronx,40.8778661855,-73.8662397404,Williamsbridge-Olinville,BACKED,2013-10-25,"(40.8778661855, -73.8662397404)",0.4 km,422,6 mins,
G3600050037900,36005037900,36,005,037900,6878,40.851116,-73.899238,POINT (1831439.0667999983 589455.7679999992),"(40.8488717136, -73.9002705776)",POINT (-73.90027057759731 40.84887171360414),1743,Bronx,40.8488717136,-73.9002705776,Mount Hope,BACKED,2014-05-01,"(40.8488717136, -73.9002705776)",0.3 km,263,4 mins,
G3600050038000,36005038000,36,005,038000,4938,40.878132,-73.862206,POINT (1833753.7536000013 593113.7153999992),"(40.8778661855, -73.8662397404)",POINT (-73.86623974039587 40.87786618551837),2014,Bronx,40.8778661855,-73.8662397404,Williamsbridge-Olinville,BACKED,2013-10-25,"(40.8778661855, -73.8662397404)",0.6 km,565,7 mins,
G3600050038100,36005038100,36,005,038100,6853,40.852595,-73.901097,POINT (1831249.6336999983 589581.1144999992),"(40.8548848848, -73.9033130208)",POINT (-73.90331302079477 40.85488488478206),1768,Bronx,40.8548848848,-73.9033130208,Fordham Heights,BACKED,2014-07-30,"(40.8548848848, -73.9033130208)",0.5 km,468,7 mins,
G3600050038200,36005038200,36,005,038200,2852,40.877458,-73.854893,POINT (1834365.9428999983 593181.4116999991),"(40.8738397071, -73.8553665896)",POINT (-73.85536658961966 40.87383970706848),1838,Bronx,40.8738397071,-73.8553665896,Pelham Gardens,BACKLESS,2017-02-04,"(40.8738397071, -73.8553665896)",0.4 km,447,6 mins,
G3600050038301,36005038301,36,005,038301,4635,40.857264,-73.898396,POINT (1831348.8969999999 590141.9541999996),"(40.8586733427, -73.8952215495)",POINT (-73.89522154952304 40.85867334268496),1774,Bronx,40.8586733427,-73.8952215495,Fordham Heights,BACKED,2014-09-03,"(40.8586733427, -73.8952215495)",0.4 km,415,5 mins,
G3600050038303,36005038303,36,005,038303,3468,40.856909,-73.896118,POINT (1831543.4006999992 590147.1701999996),"(40.8586733427, -73.8952215495)",POINT (-73.89522154952304 40.85867334268496),1774,Bronx,40.8586733427,-73.8952215495,Fordham Heights,BACKED,2014-09-03,"(40.8586733427, -73.8952215495)",0.2 km,235,3 mins,
G3600050038304,36005038304,36,005,038304,2508,40.857544,-73.894168,POINT (1831685.6618999988 590253.9497999996),"(40.8586733427, -73.8952215495)",POINT (-73.89522154952304 40.85867334268496),1774,Bronx,40.8586733427,-73.8952215495,Fordham Heights,BACKED,2014-09-03,"(40.8586733427, -73.8952215495)",0.4 km,429,6 mins,
G3600050038500,36005038500,36,005,038500,5362,40.855589,-73.892474,POINT (1831873.9576999992 590073.5648999996),"(40.8586733427, -73.8952215495)",POINT (-73.89522154952304 40.85867334268496),1774,Bronx,40.8586733427,-73.8952215495,Fordham Heights,BACKED,2014-09-03,"(40.8586733427, -73.8952215495)",0.7 km,676,9 mins,
G3600050038600,36005038600,36,005,038600,7949,40.878953,-73.84869,POINT (1834831.752799999 593464.0504999999),"(40.8786772604, -73.8440024887)",POINT (-73.84400248866734 40.8786772603729),1848,Bronx,40.8786772604,-73.8440024887,Eastchester-Edenwald-Baychester,BACKED,2017-02-04,"(40.8786772604, -73.8440024887)",0.6 km,636,8 mins,
G3600050038700,36005038700,36,005,038700,3401,40.85705,-73.889161,POINT (1832105.7840999998 590296.6356000006),"(40.8583453399, -73.8884845066)",POINT (-73.88848450657045 40.858345339858346),2095,Bronx,40.8583453399,-73.8884845066,Belmont,BACKED,2016-08-09,"(40.8583453399, -73.8884845066)",0.2 km,223,3 mins,
G3600050038800,36005038800,36,005,038800,2941,40.879584,-73.855313,POINT (1834276.8079000004 593404.9496999998),"(40.8738397071, -73.8553665896)",POINT (-73.85536658961966 40.87383970706848),1838,Bronx,40.8738397071,-73.8553665896,Pelham Gardens,BACKLESS,2017-02-04,"(40.8738397071, -73.8553665896)",0.8 km,816,10 mins,
G3600050038900,36005038900,36,005,038900,4819,40.856034,-73.884685,POINT (1832496.1864 590272.2236000001),"(40.8583453399, -73.8884845066)",POINT (-73.88848450657045 40.858345339858346),2095,Bronx,40.8583453399,-73.8884845066,Belmont,BACKED,2016-08-09,"(40.8583453399, -73.8884845066)",0.5 km,471,6 mins,
G3600050039000,36005039000,36,005,039000,3323,40.881311,-73.860793,POINT (1833786.4860999994 593487.3637000006),"(40.8778661855, -73.8662397404)",POINT (-73.86623974039587 40.87786618551837),2014,Bronx,40.8778661855,-73.8662397404,Williamsbridge-Olinville,BACKED,2013-10-25,"(40.8778661855, -73.8662397404)",0.9 km,888,11 mins,
G3600050039100,36005039100,36,005,039100,7210,40.853304,-73.88701,POINT (1832377.5221999995 589929.9089000002),"(40.8505527127, -73.883741582)",POINT (-73.88374158197414 40.85055271266025),1753,Bronx,40.8505527127,-73.883741582,Belmont,BACKED,2014-10-02,"(40.8505527127, -73.883741582)",0.5 km,537,7 mins,
G3600050039200,36005039200,36,005,039200,1809,40.883496,-73.865008,POINT (1833387.2175000012 593644.1161000002),"(40.8778661855, -73.8662397404)",POINT (-73.86623974039587 40.87786618551837),2014,Bronx,40.8778661855,-73.8662397404,Williamsbridge-Olinville,BACKED,2013-10-25,"(40.8778661855, -73.8662397404)",0.8 km,825,10 mins,
G3600050039300,36005039300,36,005,039300,8033,40.852434,-73.883248,POINT (1832706.0797999986 589907.6497000009),"(40.8505527127, -73.883741582)",POINT (-73.88374158197414 40.85055271266025),1753,Bronx,40.8505527127,-73.883741582,Belmont,BACKED,2014-10-02,"(40.8505527127, -73.883741582)",0.3 km,252,3 mins,
G3600050039400,36005039400,36,005,039400,4647,40.886563,-73.863759,POINT (1833409.5111999996 594002.3925999999),"(40.8896240469, -73.8596129093)",POINT (-73.85961290933876 40.889624046903684),1874,Bronx,40.8896240469,-73.8596129093,Williamsbridge-Olinville,BACKED,2017-06-28,"(40.8896240469, -73.8596129093)",0.7 km,668,9 mins,
G3600050039500,36005039500,36,005,039500,4254,40.849117,-73.896631,POINT (1831702.7923999988 589288.1773000006),"(40.8488717136, -73.9002705776)",POINT (-73.90027057759731 40.84887171360414),1743,Bronx,40.8488717136,-73.9002705776,Mount Hope,BACKED,2014-05-01,"(40.8488717136, -73.9002705776)",0.5 km,480,6 mins,
G3600050039600,36005039600,36,005,039600,4485,40.884417,-73.858965,POINT (1833854.8440000005 593861.0647),"(40.8896240469, -73.8596129093)",POINT (-73.85961290933876 40.889624046903684),1874,Bronx,40.8896240469,-73.8596129093,Williamsbridge-Olinville,BACKED,2017-06-28,"(40.8896240469, -73.8596129093)",0.8 km,772,10 mins,
G3600050039700,36005039700,36,005,039700,4492,40.8617,-73.886827,POINT (1832175.5975000001 590848.3367999997),"(40.8616175433, -73.8909565215)",POINT (-73.89095652153071 40.86161754329262),1983,Bronx,40.8616175433,-73.8909565215,Belmont,BACKED,2013-02-07,"(40.8616175433, -73.8909565215)",0.4 km,430,5 mins,
G3600050039800,36005039800,36,005,039800,3347,40.882882,-73.85367,POINT (1834325.1378000006 593796.0048999991),"(40.8896240469, -73.8596129093)",POINT (-73.85961290933876 40.889624046903684),1874,Bronx,40.8896240469,-73.8596129093,Williamsbridge-Olinville,BACKED,2017-06-28,"(40.8896240469, -73.8596129093)",1.2 km,1213,16 mins,
G3600050039901,36005039901,36,005,039901,5254,40.863539,-73.893345,POINT (1831597.8542000018 590923.0878999997),"(40.8622147653, -73.8933179798)",POINT (-73.89331797982801 40.86221476528052),1793,Bronx,40.8622147653,-73.8933179798,University Heights (North)-Fordham,BACKLESS,2012-10-16,"(40.8622147653, -73.8933179798)",0.2 km,174,2 mins,
G3600050039902,36005039902,36,005,039902,5548,40.860238,-73.895016,POINT (1831547.1253999993 590531.1723999996),"(40.8608285644, -73.8964129316)",POINT (-73.89641293164577 40.86082856440676),1785,Bronx,40.8608285644,-73.8964129316,Fordham Heights,BACKED,2013-08-06,"(40.8608285644, -73.8964129316)",0.2 km,187,2 mins,
G3600050040100,36005040100,36,005,040100,5009,40.864386,-73.897371,POINT (1831248.4635999985 590937.7990000006),"(40.8625353536, -73.8970543388)",POINT (-73.89705433881575 40.862535353570195),1891,Bronx,40.8625353536,-73.8970543388,University Heights (North)-Fordham,BACKED,2013-02-07,"(40.8625353536, -73.8970543388)",0.4 km,374,5 mins,
G3600050040302,36005040302,36,005,040302,4197,40.867879,-73.892067,POINT (1831589.7758000009 591420.6461999994),"(40.8678457095, -73.8875615804)",POINT (-73.8875615804258 40.86784570953697),1819,Bronx,40.8678457095,-73.8875615804,Bedford Park,BACKED,2018-03-06,"(40.8678457095, -73.8875615804)",0.6 km,571,7 mins,
G3600050040303,36005040303,36,005,040303,4843,40.869691,-73.893679,POINT (1831411.8654999994 591587.0315000005),"(40.8688025063, -73.8968418793)",POINT (-73.89684187928394 40.86880250628702),1822,Bronx,40.8688025063,-73.8968418793,Bedford Park,BACKED,2017-07-03,"(40.8688025063, -73.8968418793)",0.4 km,375,4 mins,
G3600050040304,36005040304,36,005,040304,4125,40.867724,-73.895265,POINT (1831333.6259999983 591342.1247000005),"(40.8688025063, -73.8968418793)",POINT (-73.89684187928394 40.86880250628702),1822,Bronx,40.8688025063,-73.8968418793,Bedford Park,BACKED,2017-07-03,"(40.8688025063, -73.8968418793)",0.3 km,338,4 mins,
G3600050040400,36005040400,36,005,040400,3530,40.886054,-73.851293,POINT (1834436.4015000015 594187.4981999993),"(40.8896240469, -73.8596129093)",POINT (-73.85961290933876 40.889624046903684),1874,Bronx,40.8896240469,-73.8596129093,Williamsbridge-Olinville,BACKED,2017-06-28,"(40.8896240469, -73.8596129093)",0.9 km,947,12 mins,
G3600050040501,36005040501,36,005,040501,4385,40.867195,-73.891037,POINT (1831691.2237000018 591365.9634000007),"(40.8678457095, -73.8875615804)",POINT (-73.8875615804258 40.86784570953697),1819,Bronx,40.8678457095,-73.8875615804,Bedford Park,BACKED,2018-03-06,"(40.8678457095, -73.8875615804)",0.5 km,456,5 mins,
G3600050040502,36005040502,36,005,040502,7320,40.86577,-73.889189,POINT (1831878.3493000008 591246.3037),"(40.8678457095, -73.8875615804)",POINT (-73.8875615804258 40.86784570953697),1819,Bronx,40.8678457095,-73.8875615804,Bedford Park,BACKED,2018-03-06,"(40.8678457095, -73.8875615804)",0.3 km,341,4 mins,
G3600050040600,36005040600,36,005,040600,3792,40.888091,-73.857097,POINT (1833911.7545000017 594297.4245999996),"(40.8896240469, -73.8596129093)",POINT (-73.85961290933876 40.889624046903684),1874,Bronx,40.8896240469,-73.8596129093,Williamsbridge-Olinville,BACKED,2017-06-28,"(40.8896240469, -73.8596129093)",0.4 km,444,6 mins,
G3600050040701,36005040701,36,005,040701,3235,40.871531,-73.89034,POINT (1831635.9710999988 591851.8849),"(40.8678457095, -73.8875615804)",POINT (-73.8875615804258 40.86784570953697),1819,Bronx,40.8678457095,-73.8875615804,Bedford Park,BACKED,2018-03-06,"(40.8678457095, -73.8875615804)",0.6 km,645,8 mins,
G3600050040702,36005040702,36,005,040702,6968,40.869415,-73.887378,POINT (1831931.5491999984 591678.4017999992),"(40.8678457095, -73.8875615804)",POINT (-73.8875615804258 40.86784570953697),1819,Bronx,40.8678457095,-73.8875615804,Bedford Park,BACKED,2018-03-06,"(40.8678457095, -73.8875615804)",0.2 km,214,2 mins,
G3600050040800,36005040800,36,005,040800,4475,40.889858,-73.861982,POINT (1833468.8370999992 594395.6966999993),"(40.8896240469, -73.8596129093)",POINT (-73.85961290933876 40.889624046903684),1874,Bronx,40.8896240469,-73.8596129093,Williamsbridge-Olinville,BACKED,2017-06-28,"(40.8896240469, -73.8596129093)",0.3 km,330,5 mins,
G3600050040900,36005040900,36,005,040900,3580,40.87842,-73.888468,POINT (1831610.362300001 592638.6434000004),"(40.8803517925, -73.8861749926)",POINT (-73.88617499257019 40.88035179252801),2157,Bronx,40.8803517925,-73.8861749926,Bedford Park,BACKED,2019-09-30,"(40.8803517925, -73.8861749926)",0.3 km,303,4 mins,
G3600050041100,36005041100,36,005,041100,3215,40.875391,-73.887249,POINT (1831787.7261000015 592332.0774000008),"(40.874143861, -73.8839758558)",POINT (-73.8839758558347 40.87414386104296),1992,Bronx,40.874143861,-73.8839758558,Bedford Park,BACKED,2013-03-27,"(40.874143861, -73.8839758558)",0.4 km,373,4 mins,
G3600050041300,36005041300,36,005,041300,7781,40.873896,-73.885176,POINT (1831994.947999999 592209.1316999998),"(40.874143861, -73.8839758558)",POINT (-73.8839758558347 40.87414386104296),1992,Bronx,40.874143861,-73.8839758558,Bedford Park,BACKED,2013-03-27,"(40.874143861, -73.8839758558)",0.1 km,112,1 min,
